Name,Prefix,Iso
Afghanistan,93,AFG
Albania,355,ALB
Algeria,213,DZA
American Samoa,1684,ASM
Andorra,376,AND
Angola,244,AGO
Anguilla,1264,AIA
Antarctica,672,ATA
Antigua and Barbuda,1268,ATG
Argentina,54,ARG
Armenia,374,ARM
Aruba,297,ABW
Australia,61,AUS
Austria,43,AUT
Azerbaijan,994,AZE
Bahamas,1242,BHS
Bahrain,973,BHR
Bangladesh,880,BGD
Barbados,1246 ,BRB
Belarus,375,BLR
Belgium,32,BEL
Belize,501,BLZ
Benin,229,BEN
Bermuda,1441,BMU
Bhutan,975,BTN
Bosniaand Herzegovina,387,BIH
Botswana,267,BWA
Brazil,55,BRA
Bulgaria,359,BGR
Burkina Faso,226,BFA
Burma(Myanmar),95,MMR
Burundi,257,BDI
Cambodia,855,KHM
Cameroon,237,CMR
Canada,1,CAN
Cape Verde,238,CPV
Cayman Islands,1345,CYM
Central African Republic,236,CAF
Chad,235,TCD
Chile,56,CHL
China,86,CHN
Christmas Island,61,CXR
Cocos(Keeling) Islands,61,CCK
Colombia,57,COL
Comoros,269,COM
Cook Islands,682,COK
Costa Rica,506,CRI
Croatia,385,HRV
Cuba,53,CUB
Cyprus,357,CYP
Czech Republic,420,CZE
Democratic Republic of the Congo,243,COD
Denmark,45,DNK
Djibouti,253,DJI
Dominica,1767,DMA
Dominican Republic,1809,DOM
Ecuador,593,ECU
Egypt,20,EGY
El Salvador,503,SLV
Equatorial Guinea,240,GNQ
Eritrea,291,ERI
Estonia,372,EST
Ethiopia,251,ETH
Faroe Islands,298,FRO
Fiji,679,FJI
Finland,358,FIN
France,33,FRA
French Polynesia,689,PYF
Gabon,241,GAB
Gambia,220,GMB
Gaza Strip,970,
Georgia,995,GEO
Germany,49,DEU
Ghana,233,GHA
Gibraltar,350,GIB
Greece,30,GRC
Greenland,299,GRL
Grenada,1473,GRD
Guam,1671,GUM
Guatemala,502,GTM
Guinea,224,GIN
Guinea-Bissau,245,GNB
Guyana,592,GUY
Haiti,509,HTI
Holy See(VaticanCity),39,
Honduras,504,HND
Hong Kong,852,HKG
Hungary,36,HUN
Iceland,354,ISL
India,91,IND
Indonesia,62,IDN
Iran,98,IRN
Iraq,964,IRQ
Ireland,353,IRL
Isle of Man,44,IMN
Israel,972,ISR
Italy,39,ITA
Jamaica,1876,JAM
Japan,81,JPN
Jordan,962,JOR
Kazakhstan,7,KAZ
Kenya,254,KEN
Kiribati,686,KIR
Kosovo,381,
Kuwait,965,KWT
Kyrgyzstan,996,KGZ
Laos,856,LAO
Latvia,371,LVA
Lebanon,961,LBN
Lesotho,266,LSO
Liberia,231,LBR
Libya,218,LBY
Liechtenstein,423,LIE
Lithuania,370,LTU
Luxembourg,352,LUX
Macedonia,389,MKD
Madagascar,261,MDG
Malawi,265,MWI
Malaysia,60,MYS
Maldives,960,MDV
Mali,223,MLI
Malta,356,MLT
Marshall Islands,692,MHL
Mauritania,222,MRT
Mauritius,230,MUS
Mayotte,262,MYT
Mexico,52,MEX
Moldova,373,MDA
Monaco,377,MCO
Mongolia,976,MNG
Montenegro,382,MNE
Montserrat,1664,MSR
Morocco,212,MAR
Mozambique,258,MOZ
Namibia,264,NAM
Nauru,674,NRU
Nepal,977,NPL
Netherlands,31,NLD
New Caledonia,687,NCL
New Zealand,64,NZL
Nicaragua,505,NIC
Niger,227,NER
Nigeria,234,NGA
Niue,683,NIU
Norfolk Island,672,NFK
North Korea,850,PRK
Northern Mariana Islands,1670,MNP
Norway,47,NOR
Oman,968,OMN
Pakistan,92,PAK
Palau,680,PLW
Panama,507,PAN
Papua New Guinea,675,PNG
Paraguay,595,PRY
Peru,51,PER
Philippines,63,PHL
Poland,48,POL
Portugal,351,PRT
Puerto Rico,1,PRI
Qatar,974,QAT
Republic of the Congo,242,COG
Romania,40,ROU
Russia,7,RUS
Rwanda,250,RWA
Saint Kitts and Nevis,1869,KNA
Saint Lucia,1758,LCA
Saint Pierre and Miquelon,508,SPM
Saint Vincent and the Grenadines,1784,VCT
Samoa,685,WSM
San Marino,378,SMR
Sao Tome and Principe,239,STP
Saudi Arabia,966,SAU
Senegal,221,SEN
Serbia,381,SRB
Seychelles,248,SYC
Sierra Leone,232,SLE
Singapore,65,SGP
Slovakia,421,SVK
Slovenia,386,SVN
Solomon Islands,677,SLB
Somalia,252,SOM
South Africa,27,ZAF
South Korea,82,KOR
Spain,34,ESP
Sri Lanka,94,LKA
Sudan,249,SDN
Suriname,597,SUR
Swaziland,268,SWZ
Sweden,46,SWE
Switzerland,41,CHE
Syria,963,SYR
Taiwan,886,TWN
Tajikistan,992,TJK
Tanzania,255,TZA
Thailand,66,THA
Timor-Leste,670,TLS
Togo,228,TGO
Tokelau,690,TKL
Tonga,676,TON
TrinidadandTobago,1868,TTO
Tunisia,216,TUN
Turkey,90,TUR
Turkmenistan,993,TKM
Turksand Caicos Islands,1649,TCA
Tuvalu,688,TUV
Uganda,256,UGA
Ukraine,380,UKR
United Arab Emirates,971,ARE
United Kingdom,44,GBR
United States,1,USA
Uruguay,598,URY
Uzbekistan,998,UZB
Vanuatu,678,VUT
Venezuela,58,VEN
Vietnam,84,VNM
Wallis and Futuna,681,WLF
West Bank,970,
Yemen,967,YEM
Zambia,260,ZMB
Zimbabwe,263,ZWE
Åland Islands,358,ALA
French Southern Territories,,ATF
Bonaire,599,BES
Bolivia,591,BOL
Brunei,673,BRN
IvoryCost,225,CIV
Curaçao,599,CUW
Western Sahara,212,ESH
Falkland Islands(Malvinas),500,FLK
Macao,853,MAC
South Sudan,211,SSD